sub_niche,parent_lane,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,median_estimated_value,award_value_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,ai_leverage_1_5,subcontractability_1_5,delivery_gate_risk_1_5,working_capital_risk_1_5,ticket_fit_1_5,competition_fit_1_5,recurrence_fit_1_5,fragmentation_fit_1_5,spm_hunt_score,market_motion
FR · Publication layout / DTP,CREATIVE,France,FRANCE,COMPETITIVE_OTHER,EUR,14,13,1,7.69,,1,10000.0,10000.0,10000.0,0,,,2,50.0,5000.0,5.0,3.5,2.0,1.0,5.0,3.0,1.9230769230769231,3.0,66.78,OPEN_HUNT
FR · Visual identity / branding,CREATIVE,France,FRANCE,COMPETITIVE_OTHER,EUR,14,14,0,0.0,,3,52500.0,70000.0,79500.0,0,,,3,33.33,3333.33,5.0,3.5,2.0,1.0,5.0,3.0,1.0,3.0,65.29,OPEN_HUNT
FR · Visual identity / branding,CREATIVE,France,FRANCE,OPEN_PUBLIC,EUR,21,21,0,0.0,,2,704150.0,1136100.0,1568050.0,0,,,5,33.33,2592.59,5.0,3.5,2.0,1.0,4.0,3.0,1.0,2.166666666666667,65.07,OPEN_HUNT
FR · Communication collateral printing,PRINT_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,28,27,1,3.7,,2,44742.5,48495.0,52247.5,0,,,5,20.0,2000.0,2.0,5.0,3.0,4.0,5.0,3.0,1.4444444444444444,3.5,64.04,OPEN_HUNT
CA · Interpretation / sign-language services,LANGUAGE,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,2,2,100.0,,2,108518.5775,119308.405,130098.2325,0,,,2,50.0,5000.0,4.5,4.0,4.0,1.5,5.0,3.0,5.0,3.0,63.24,OPEN_HUNT
DE · TYPO3 / Drupal / WordPress CMS,WEB_DIGITAL,Germany,GERMANY,OPEN_PUBLIC,EUR,22,4,0,0.0,520000.0,2,379883.69999999995,421255.8,462627.9,1,3.0,0.0,3,33.33,3333.33,5.0,3.0,2.5,1.0,5.0,3.0,1.0,3.0,63.07,OPEN_HUNT
DE · Web accessibility / Barrierefreiheit,WEB_DIGITAL,Germany,GERMANY,OPEN_PUBLIC,EUR,12,1,1,100.0,,0,,,,2,11.0,0.0,1,100.0,10000.0,5.0,3.0,2.5,1.0,3.0,3.0,5.0,3.0,61.44,OPEN_HUNT
FR · General commercial print production,OTHER,France,FRANCE,COMPETITIVE_OTHER,EUR,25,24,1,4.17,,2,20250.0,33500.0,46750.0,0,,,2,50.0,5000.0,2.5,2.5,2.0,1.0,5.0,3.0,1.5,3.0,61.39,OPEN_HUNT
QC · Brochure / publication printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,9,6,2,33.33,347399.0,9,133100.0,167761.0,252230.6,9,3.0,0.0,4,66.67,4814.81,2.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,61.04,OPEN_HUNT
FR · Brochure / publication / book printing,PRINT_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,17,15,1,6.67,,3,65000.0,70000.0,75000.0,0,,,4,25.0,2500.0,2.0,5.0,3.0,4.0,5.0,3.0,1.8,3.0,60.6,OPEN_HUNT
FR · Mailing / routing / fulfilment,PRINT_BROKER,France,FRANCE,COMPETITIVE_OTHER,EUR,16,15,1,6.67,,2,56181.88,56457.259999999995,56732.64,0,,,2,66.67,5555.56,2.0,5.0,3.0,4.0,5.0,3.0,1.8,3.0,60.45,OPEN_HUNT
FR · Human interpreting,LANGUAGE,France,FRANCE,COMPETITIVE_OTHER,EUR,10,10,0,0.0,,2,23917.1,27834.2,31751.300000000003,0,,,3,33.33,3333.33,4.5,4.0,4.0,1.5,5.0,3.0,1.0,3.0,60.38,OPEN_HUNT
QC · Large-format / display printing,PRINT_BROKER,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,7,5,2,40.0,6684999.0,5,39937.2,39937.2,543741.5,5,2.0,60.0,4,40.0,2800.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,59.69,OPEN_HUNT
