lane,source,country,route,currency,records,buyers,median_estimated_value,median_award_value,median_bidders,bidder_rows,single_bid_pct
Office supplies / consumables resale,TED,NO,UNKNOWN,NOK,4,4,4250000.0,4000000.0,1.0,3,66.67
Software licences / SaaS resale,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,2,7000000.0,1414272.5,6.0,1,0.0
Training / e-learning,TED,ROU,UNKNOWN,RON,4,1,1022917.5,1947400.0,2.0,6,50.0
Software licences / SaaS resale,France,FRANCE,UNKNOWN,EUR,4,4,,2600000.0,,0,
Recruitment / temporary staffing,TED,LUX,UNKNOWN,EUR,3,1,160000.0,,0.5,2,50.0
Promotional merchandise,France,FRANCE,COMPETITIVE_OTHER,EUR,3,3,,,,0,
Recruitment / temporary staffing,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,3,3,60000000.0,60000000.0,46.0,1,0.0
Office supplies / consumables resale,TED,LUX,UNKNOWN,UNKNOWN,3,1,,,,0,
Training / e-learning,TED,CHE,UNKNOWN,UNKNOWN,3,1,,,11.0,1,0.0
Courier / mail fulfilment,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,3,2,80000000.0,600000.0,4.0,1,0.0
Software licences / SaaS resale,United Kingdom,UNITED KINGDOM,FRAMEWORK_DPS_CALLOFF,GBP,3,3,98592.0,11127545.84,,0,
Software licences / SaaS resale,TED,FIN,UNKNOWN,UNKNOWN,3,2,,,,0,
Promotional merchandise,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,3,3,,140000.0,2.5,2,50.0
Office supplies / consumables resale,TED,TUR,UNKNOWN,UNKNOWN,3,1,,,1.5,3,0.0
Software licences / SaaS resale,TED,LUX,UNKNOWN,UNKNOWN,3,1,,,1.0,1,100.0
Training / e-learning,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,3,3,,878648.0,,0,
Office supplies / consumables resale,United Kingdom,UNITED KINGDOM,FRAMEWORK_DPS_CALLOFF,GBP,3,3,,700000.0,,0,
Training / e-learning,TED,CZE,UNKNOWN,CZK,3,2,22000000.0,5299200.0,5.5,2,50.0
Recruitment / temporary staffing,TED,LUX,UNKNOWN,UNKNOWN,3,1,,,6.0,1,0.0
Promotional merchandise,France,FRANCE,UNKNOWN,EUR,3,3,,200000.0,,0,
