micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Translation services,TED,ESP,UNKNOWN,UNKNOWN,25,1,1,100.0,,0,,,,15,4.0,26.67,6,52.94,3356.4,62.85,OTHER_ROUTE
Graphic design / DTP / visual identity,France,FRANCE,UNKNOWN,EUR,15,15,0,0.0,,5,300000.0,400000.0,678000.0,0,,,1,100.0,10000.0,62.85,OTHER_ROUTE
Software licence renewal / licensing,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,3,1,33.33,,5,354773.76,374774.43,415884.02,0,,,5,20.0,2000.0,62.27,OPEN_BID
Subtitling / captioning,France,FRANCE,OPEN_PUBLIC,EUR,12,12,0,0.0,,1,15832.0,15832.0,15832.0,0,,,3,33.33,3333.33,62.24,OPEN_BID
Social media / community management,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,10,9,1,11.11,12000000.0,4,18667.0,32328.0,55622.8125,3,1.0,66.67,4,50.0,3333.33,62.22,OTHER_ROUTE
Commercial printing / print production,TED,NOR,UNKNOWN,NOK,29,1,1,100.0,7000000.0,9,3200000.0,4500000.0,10000000.0,13,3.0,0.0,4,66.67,5108.02,62.14,OTHER_ROUTE
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,6,5,1,20.0,440000.0,1,32517.5,32517.5,32517.5,0,,,2,50.0,5000.0,61.82,OTHER_ROUTE
SEO / digital marketing,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,10,8,2,25.0,,0,,,,0,,,3,33.33,3333.33,61.74,OTHER_ROUTE
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,8,8,0,0.0,3341649.0,8,423290.0,976892.64,1339456.8375,8,1.0,50.0,3,75.0,5937.5,61.67,OPEN_BID
Media / press monitoring,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,12,12,0,0.0,228200.0,8,44283.0,85071.575,128500.0,5,1.0,60.0,8,12.5,1250.0,61.54,OTHER_ROUTE
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,17,16,1,6.25,437500.0,7,75700.0,79500.0,174787.0,6,1.0,100.0,5,28.57,2244.9,61.45,OTHER_ROUTE
Mailing / fulfilment / routing,France,FRANCE,UNKNOWN,EUR,19,18,1,5.56,,10,366250.0,448689.0,1522255.25,0,,,4,25.0,2500.0,61.43,OTHER_ROUTE
SEO / digital marketing,TED,ITA,UNKNOWN,EUR,6,1,1,100.0,701875.0,4,258843.75,435960.0,954850.0,1,2.0,0.0,6,25.0,1875.0,61.4,OTHER_ROUTE
Website design / redesign / development,Belgium,BE,UNKNOWN,UNKNOWN,16,14,2,14.29,,0,,,,0,,,,,,61.37,OTHER_ROUTE
Data entry / document indexing,TED,ITA,UNKNOWN,EUR,17,1,1,100.0,989003.85,8,459093.75,714734.6499999999,951009.23,2,3.5,0.0,4,50.0,3437.5,61.22,OTHER_ROUTE
Transcription / speech-to-text,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,5,3,1,33.33,,5,100000.0,150000.0,275000.0,0,,,1,100.0,10000.0,61.17,OTHER_ROUTE
Website maintenance / hosting / support,TED,MLT,UNKNOWN,EUR,5,2,2,100.0,289500.0,5,123480.0,155000.0,289500.0,1,9.0,0.0,3,40.0,3600.0,61.13,OTHER_ROUTE
Mailing / fulfilment / routing,Belgium,BE,UNKNOWN,UNKNOWN,19,15,3,20.0,,0,,,,0,,,,,,61.03,OTHER_ROUTE
Market research / surveys / polling,Belgium,BE,UNKNOWN,UNKNOWN,17,13,3,23.08,,0,,,,0,,,,,,61.02,OTHER_ROUTE
Media / press monitoring,Belgium,BE,UNKNOWN,UNKNOWN,12,9,2,22.22,,0,,,,0,,,,,,60.98,OTHER_ROUTE
Translation services,TED,POL,UNKNOWN,PLN,14,1,1,100.0,1827609.755,18,506055.6375,1255048.95,2348750.0,4,3.0,25.0,5,62.5,4513.89,60.82,OTHER_ROUTE
SEO / digital marketing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,7,6,1,16.67,,7,47000.0,118000.0,196438.4,0,,,8,22.22,1358.02,60.59,DIRECT_BUYER
Software licence renewal / licensing,Belgium,BE,UNKNOWN,UNKNOWN,15,11,3,27.27,,0,,,,0,,,,,,60.53,OTHER_ROUTE
Translation services,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,7,4,1,25.0,,7,110000.0,120000.0,365000.0,1,5.0,0.0,3,50.0,3888.89,60.34,OTHER_ROUTE
SEO / digital marketing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,6,4,1,25.0,,7,50000.0,75000.0,99500.0,7,1.0,100.0,6,28.57,1836.73,59.92,DIRECT_BUYER
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,7,4,2,50.0,,36,1163.75,5166.625,15132.9225,36,3.0,47.22,6,44.44,2978.4,59.86,OTHER_ROUTE
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,8,8,0,0.0,200000.0,4,11713.224999999999,43539.65,1731250.0,2,6.0,0.0,5,20.0,2000.0,59.77,OPEN_BID
Media / press monitoring,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,14,14,0,0.0,,13,14000.0,25000.0,51800.0,0,,,13,14.29,816.33,59.73,DIRECT_BUYER
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,5,0,0.0,,5,100000.0,100000.0,450000.0,5,6.0,20.0,9,16.67,1342.59,59.59,OPEN_BID
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,4,3,1,33.33,,5,104342.67,198425.0,198425.0,5,4.0,0.0,3,40.0,3600.0,59.42,OPEN_BID
Commercial printing / print production,TED,MLT,UNKNOWN,EUR,9,1,1,100.0,123227.0,3,36885.130000000005,59974.26,1278237.13,2,0.5,50.0,1,100.0,10000.0,59.39,OTHER_ROUTE
Translation services,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,1,1,100.0,,4,50000.0,50000.0,50000.0,0,,,3,50.0,3750.0,59.25,OPEN_BID
Website design / redesign / development,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,11,11,0,0.0,82500.0,11,52083.0,68250.07,123212.0,10,18.0,0.0,14,15.38,848.13,59.23,OPEN_BID
Market research / surveys / polling,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,8,7,1,14.29,1747033.0,2,735193.5,1340387.0,1945580.5,2,4.0,0.0,3,50.0,3750.0,59.09,OPEN_BID
Media / press monitoring,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,6,6,0,0.0,,4,34322.75,36057.5,43851.0,0,,,6,16.67,1666.67,59.0,OPEN_BID
SEO / digital marketing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,8,8,0,0.0,10000000.0,3,102375.0,157500.0,412712.5,4,3.0,0.0,5,20.0,2000.0,58.77,OTHER_ROUTE
LMS / e-learning platform software,Ireland,IRELAND,OPEN_PUBLIC,EUR,7,7,0,0.0,425000.0,5,220439.0,400000.0,425500.0,5,5.0,0.0,5,20.0,2000.0,58.67,OPEN_BID
Website design / redesign / development,Germany,GERMANY,OPEN_PUBLIC,EUR,25,3,0,0.0,435609.245,0,,,,0,,,1,100.0,10000.0,58.4,OPEN_BID
Video production / editing / motion,Ireland,IRELAND,OPEN_PUBLIC,EUR,5,5,0,0.0,220000.0,4,162500.0,210000.0,397325.0,4,12.5,0.0,7,25.0,1770.83,58.22,OPEN_BID
Commercial printing / print production,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,4,3,1,33.33,,10,1.0,1.0,1.0,0,,,11,9.09,909.09,57.99,OPEN_BID
SEO / digital marketing,Belgium,BE,UNKNOWN,UNKNOWN,14,13,1,7.69,,0,,,,0,,,,,,57.88,OTHER_ROUTE
WordPress / Drupal / CMS implementation,Belgium,BE,UNKNOWN,UNKNOWN,7,4,1,25.0,,0,,,,0,,,,,,57.74,OTHER_ROUTE
Social media / community management,Belgium,BE,UNKNOWN,UNKNOWN,11,9,1,11.11,,0,,,,0,,,,,,57.64,OTHER_ROUTE
Website maintenance / hosting / support,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,9,8,1,12.5,,0,,,,0,,,2,50.0,5000.0,57.55,OTHER_ROUTE
Data entry / document indexing,France,FRANCE,OPEN_PUBLIC,EUR,6,6,0,0.0,,1,193000.0,193000.0,193000.0,0,,,1,100.0,10000.0,57.44,OPEN_BID
Media / press monitoring,Germany,GERMANY,OPEN_PUBLIC,EUR,17,4,0,0.0,,3,26.031999999999996,32.544,48.4,5,5.0,0.0,4,40.0,2800.0,57.42,OPEN_BID
Graphic design / DTP / visual identity,TED,NOR,UNKNOWN,NOK,7,1,1,100.0,4800000.0,0,,,,1,8.0,0.0,2,50.0,5000.0,57.33,OTHER_ROUTE
Translation services,TED,NOR,UNKNOWN,UNKNOWN,9,1,1,100.0,,0,,,,2,1.5,0.0,4,33.33,2777.78,57.09,OTHER_ROUTE
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,7,7,0,0.0,,11,34866.58,67921.48,74241.175,11,1.0,100.0,7,18.18,1570.25,56.82,DIRECT_BUYER
Document scanning / digitization / OCR,Germany,GERMANY,COMPETITIVE_OTHER,EUR,4,3,1,33.33,,3,1.0,1.0,1.0,3,1.0,100.0,4,33.33,2777.78,56.52,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,8,8,0,0.0,,10,23148.75,48000.0,129999.75,0,,,9,20.0,1200.0,56.27,DIRECT_BUYER
Translation services,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,22,4,0,0.0,,4,670.8325000000001,102527.72,246914.25,3,1.0,100.0,4,25.0,2500.0,56.2,DIRECT_BUYER
Annual report / publication layout-production,Belgium,BE,UNKNOWN,UNKNOWN,6,5,1,20.0,,0,,,,0,,,,,,55.92,OTHER_ROUTE
Commercial printing / print production,TED,NOR,UNKNOWN,UNKNOWN,13,1,1,100.0,,0,,,,1,5.0,0.0,1,100.0,10000.0,55.88,OTHER_ROUTE
Translation services,TED,NOR,UNKNOWN,NOK,14,1,1,100.0,12650000.0,5,12500000.0,12800000.0,15000000.0,9,6.0,11.11,4,60.0,4200.0,55.82,OTHER_ROUTE
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,12,12,0,0.0,,9,73500.0,92200.0,200000.0,0,,,13,7.69,769.23,55.82,DIRECT_BUYER
Translation services,TED,AUT,UNKNOWN,EUR,4,2,1,50.0,760000.0,3,1000000.0,1000000.0,1000000.0,0,,,3,33.33,3333.33,55.78,OTHER_ROUTE
Annual report / publication layout-production,France,FRANCE,OPEN_PUBLIC,EUR,6,6,0,0.0,,0,,,,0,,,,,,55.14,OPEN_BID
Data entry / document indexing,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,4,3,1,33.33,,0,,,,0,,,,,,55.12,OPEN_BID
Transcription / speech-to-text,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,0,,,1,100.0,10000.0,55.0,OTHER_ROUTE
Media / press monitoring,TED,NOR,UNKNOWN,NOK,8,1,1,100.0,6000000.0,4,1925000.0,2650000.0,4575000.0,3,2.0,0.0,2,87.5,7812.5,54.91,OTHER_ROUTE
Annual report / publication layout-production,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,3,1,1,100.0,,3,89983.745,90765.29,91185.81,3,2.0,33.33,2,66.67,5555.56,54.84,OTHER_ROUTE
Software licence renewal / licensing,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,2,1,50.0,7000000.0,4,556553.97,1414272.5,3407055.0,1,6.0,0.0,2,75.0,6250.0,54.78,OPEN_BID
Data entry / document indexing,TED,IT,UNKNOWN,EUR,4,3,1,33.33,936000.0,2,315822.58499999996,522548.39,729274.195,2,1.5,50.0,2,50.0,5000.0,54.62,OTHER_ROUTE
Document scanning / digitization / OCR,Germany,GERMANY,OPEN_PUBLIC,EUR,3,2,1,50.0,,0,,,,0,,,,,,54.57,OPEN_BID
Promotional merchandise / branded goods,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,9,9,0,0.0,162000.0,9,200000.0,1950000.0,1950000.0,9,12.0,0.0,9,33.33,1769.55,54.46,OPEN_BID
Software licence renewal / licensing,TED,NOR,UNKNOWN,NOK,23,1,1,100.0,75000000.0,6,13500000.0,47500000.0,158750000.0,4,2.5,25.0,1,100.0,10000.0,54.31,OTHER_ROUTE
Promotional merchandise / branded goods,Ireland,IRELAND,OPEN_PUBLIC,EUR,6,6,0,0.0,625000.0,3,471000.0,500000.0,575000.0,3,10.0,0.0,6,55.56,3703.7,54.29,OPEN_BID
Video production / editing / motion,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,5,5,0,0.0,542500.0,2,357500.0,655000.0,952500.0,1,29.0,0.0,2,50.0,5000.0,54.22,OPEN_BID
Website maintenance / hosting / support,TED,NOR,UNKNOWN,NOK,8,1,1,100.0,5800000.0,2,6500000.0,7000000.0,7500000.0,1,5.0,0.0,2,66.67,5555.56,54.21,OTHER_ROUTE
Website maintenance / hosting / support,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,1,2.0,0.0,1,100.0,10000.0,54.1,OTHER_ROUTE
Document scanning / digitization / OCR,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,3,2,1,50.0,100000000.0,1,422700.0,422700.0,422700.0,1,1.0,100.0,1,100.0,10000.0,54.07,OTHER_ROUTE
Media / press monitoring,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,6,6,0,0.0,,8,33633.75,58291.840000000004,74757.82250000001,8,2.5,25.0,4,37.5,2812.5,53.84,OTHER_ROUTE
Commercial printing / print production,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,5,0,0.0,26100000.0,1,151000.0,151000.0,151000.0,1,5.0,0.0,5,33.33,2592.59,53.76,OPEN_BID
Website design / redesign / development,TED,NOR,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,0,,,,,,53.2,OTHER_ROUTE
Website maintenance / hosting / support,TenderNed,NETHERLANDS,UNKNOWN,EUR,5,5,0,0.0,549070.0,4,450000.0,525000.0,557234.0,0,,,5,20.0,2000.0,52.92,OTHER_ROUTE
Video production / editing / motion,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,4,4,0,0.0,,4,81600.0,85050.0,189875.0,4,13.0,0.0,3,50.0,3750.0,52.66,OPEN_BID
Graphic design / DTP / visual identity,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,7,1.0,28.57,2,50.0,5000.0,52.55,OTHER_ROUTE
Document scanning / digitization / OCR,Belgium,BE,UNKNOWN,UNKNOWN,4,3,1,33.33,,0,,,,0,,,,,,52.52,OTHER_ROUTE
Website maintenance / hosting / support,Canada federal,CANADA,OPEN_PUBLIC,CAD,4,4,0,0.0,,3,962128.2050000001,1185343.06,1592671.53,0,,,3,33.33,3333.33,52.46,OPEN_BID
Market research / surveys / polling,Canada federal,CANADA,OPEN_PUBLIC,CAD,4,3,1,33.33,,1,6304160.0,6304160.0,6304160.0,0,,,1,100.0,10000.0,52.32,OPEN_BID
Document scanning / digitization / OCR,TED,ESP,UNKNOWN,EUR,5,1,1,100.0,247900.0,0,,,,3,0.0,0.0,,,,52.3,OTHER_ROUTE
WordPress / Drupal / CMS implementation,Germany,GERMANY,OPEN_PUBLIC,EUR,7,3,0,0.0,2180000.0,2,1530000.0,2556000.0,3582000.0,1,5.0,0.0,3,33.33,3333.33,52.1,OPEN_BID
Document scanning / digitization / OCR,TED,ITA,UNKNOWN,EUR,3,1,1,100.0,371685.0,1,235425.28,235425.28,235425.28,1,1.0,100.0,1,100.0,10000.0,52.04,OTHER_ROUTE
Promotional merchandise / branded goods,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,3,1,1,100.0,,2,167158.64,192615.28,218071.91999999998,0,,,1,100.0,10000.0,51.94,OPEN_BID
LMS / e-learning platform software,Germany,GERMANY,COMPETITIVE_OTHER,EUR,3,1,1,100.0,,1,479150.0,479150.0,479150.0,1,3.0,0.0,2,50.0,5000.0,51.94,OPEN_BID
Video production / editing / motion,TED,AUT,UNKNOWN,UNKNOWN,4,2,1,50.0,,0,,,,5,6.75,0.0,3,60.0,4400.0,51.88,OTHER_ROUTE
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,13,13,0,0.0,3500000.0,17,125000.0,1900000.0,20000000.0,14,27.0,0.0,63,5.36,285.72,51.85,OPEN_BID
Software licence renewal / licensing,TED,NOR,UNKNOWN,UNKNOWN,8,1,1,100.0,,0,,,,1,2.0,0.0,2,50.0,5000.0,51.81,OTHER_ROUTE
Website design / redesign / development,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,5,5,0,0.0,,5,40000.0,43824.0,60000.0,0,,,5,20.0,2000.0,51.52,DIRECT_BUYER
Website design / redesign / development,TED,NOR,UNKNOWN,NOK,4,1,1,100.0,4800000.0,2,1.0,1.0,1.0,0,,,1,100.0,10000.0,51.25,OTHER_ROUTE
Commercial printing / print production,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,6,6,0,0.0,600000.0,2,109886.5,156591.0,203295.5,1,12.0,0.0,2,50.0,5000.0,51.04,OTHER_ROUTE
Subtitling / captioning,Canada federal,CANADA,OPEN_PUBLIC,CAD,3,3,0,0.0,,1,33900.0,33900.0,33900.0,0,,,1,100.0,10000.0,50.91,OPEN_BID
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,3,3,0,0.0,20000.0,1,300000.0,300000.0,300000.0,2,15.5,0.0,2,50.0,5000.0,50.91,OPEN_BID
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,4,4,0,0.0,,5,48000.0,48000.0,73188.0,5,1.5,60.0,4,40.0,2800.0,50.86,OTHER_ROUTE
SEO / digital marketing,TED,MKD,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,50.75,OTHER_ROUTE
Media / press monitoring,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,4,0,0.0,350000.0,2,50900.0,51800.0,52700.0,1,4.0,0.0,3,50.0,3750.0,50.66,OPEN_BID
Promotional merchandise / branded goods,Belgium,BE,UNKNOWN,UNKNOWN,6,5,1,20.0,,0,,,,0,,,,,,50.52,OTHER_ROUTE
Video production / editing / motion,TED,NOR,UNKNOWN,NOK,6,1,1,100.0,11000000.0,2,28250000.0,50500000.0,72750000.0,3,7.0,33.33,3,50.0,3750.0,50.5,OTHER_ROUTE
Translation services,Germany,GERMANY,UNKNOWN,EUR,28,0,0,0.0,,0,,,,0,,,,,,50.41,OTHER_ROUTE
Social media / community management,TED,SWE,UNKNOWN,SEK,4,1,1,100.0,15000000.0,1,3379000.0,3379000.0,3379000.0,2,3.5,0.0,2,50.0,5000.0,50.25,OTHER_ROUTE
Software licence renewal / licensing,France,FRANCE,UNKNOWN,EUR,6,5,1,20.0,,4,1786883.5,2491255.5,2750000.0,0,,,2,50.0,5000.0,50.02,OTHER_ROUTE
SEO / digital marketing,TED,AUT,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,1,3.0,0.0,3,33.33,3333.33,49.97,OTHER_ROUTE
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,4,4,0,0.0,,7,59250.0,66708.5,67892.73999999999,7,1.5,57.14,4,28.57,2653.06,49.96,OTHER_ROUTE
Video production / editing / motion,TED,MLT,UNKNOWN,EUR,4,1,1,100.0,503750.0,0,,,,0,,,1,100.0,10000.0,49.85,OTHER_ROUTE
Media / press monitoring,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,49.85,OTHER_ROUTE
Media / press monitoring,TED,SWE,UNKNOWN,EUR,4,1,1,100.0,850000.0,0,,,,0,,,1,100.0,10000.0,49.85,OTHER_ROUTE
Graphic design / DTP / visual identity,TED,LUX,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,6,2.0,16.67,3,33.33,3333.33,49.74,OTHER_ROUTE
LMS / e-learning platform software,TED,NOR,UNKNOWN,NOK,6,1,1,100.0,2650000.0,3,1879250.0,2796000.0,2798000.0,1,5.0,0.0,2,66.67,5555.56,49.4,OTHER_ROUTE
Website maintenance / hosting / support,Germany,GERMANY,UNKNOWN,EUR,18,1,0,0.0,,0,,,,0,,,,,,49.34,OTHER_ROUTE
Social media / community management,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,5,5,0,0.0,,4,27325.0,51875.0,85163.125,0,,,4,40.0,2800.0,49.12,DIRECT_BUYER
Translation services,TED,CHE,UNKNOWN,UNKNOWN,5,1,1,100.0,,0,,,,27,8.0,11.11,12,26.05,1413.05,49.12,OTHER_ROUTE
Document scanning / digitization / OCR,TED,POL,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,0,,,,,,49.07,OTHER_ROUTE
SaaS / cloud software subscription,Ireland,IRELAND,OPEN_PUBLIC,EUR,4,4,0,0.0,850000.0,2,120443.5,140887.0,161330.5,2,3.0,50.0,2,50.0,5000.0,49.06,OPEN_BID
Data entry / document indexing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,5,5,0,0.0,,7,31211.0,49920.0,147919.79,7,1.0,100.0,5,28.57,2244.9,49.04,DIRECT_BUYER
Web accessibility / WCAG audit-remediation,Ireland,IRELAND,OPEN_PUBLIC,EUR,3,3,0,0.0,650000.0,2,987500.0,1325000.0,1662500.0,2,5.5,0.0,2,50.0,5000.0,48.91,OPEN_BID
LMS / e-learning platform software,TED,CZE,UNKNOWN,CZK,3,1,1,100.0,4958677.0,6,275000.0,365000.0,605000.0,4,1.5,75.0,1,100.0,10000.0,48.44,OTHER_ROUTE
SaaS / cloud software subscription,Germany,GERMANY,OPEN_PUBLIC,EUR,15,1,0,0.0,,0,,,,1,3.0,0.0,1,100.0,10000.0,48.36,OPEN_BID
Video production / editing / motion,Germany,GERMANY,UNKNOWN,EUR,14,2,0,0.0,,0,,,,1,25.0,0.0,1,100.0,10000.0,47.96,OTHER_ROUTE
Website design / redesign / development,TED,CHE,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,3,9.0,0.0,2,66.67,5555.56,47.94,OTHER_ROUTE
Website maintenance / hosting / support,TED,NO,UNKNOWN,NOK,3,2,1,50.0,10000000.0,1,8000000.0,8000000.0,8000000.0,1,5.0,0.0,1,100.0,10000.0,47.87,OTHER_ROUTE
Promotional merchandise / branded goods,France,FRANCE,COMPETITIVE_OTHER,EUR,6,6,0,0.0,,0,,,,0,,,,,,47.74,OPEN_BID
Graphic design / DTP / visual identity,Germany,GERMANY,UNKNOWN,EUR,11,0,0,0.0,,0,,,,0,,,,,,47.67,OTHER_ROUTE
Video production / editing / motion,Canada federal,CANADA,OPEN_PUBLIC,CAD,4,4,0,0.0,,2,1972311.25,2020707.5,2069103.75,0,,,2,50.0,5000.0,47.16,OPEN_BID
Website design / redesign / development,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,3,3,0,0.0,250000.0,3,225000.0,250000.0,2625000.0,3,8.0,0.0,2,66.67,5555.56,47.11,OPEN_BID
Website design / redesign / development,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,3,3,0,0.0,,1,282029.08,282029.08,282029.08,0,,,1,100.0,10000.0,47.11,OPEN_BID
Media / press monitoring,TED,SWE,UNKNOWN,SEK,3,1,1,100.0,8000000.0,0,,,,0,,,,,,47.04,OTHER_ROUTE
Annual report / publication layout-production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,4,4,0,0.0,,6,29230.275,30000.0,63750.0,6,1.0,100.0,4,33.33,2777.78,46.46,DIRECT_BUYER
Market research / surveys / polling,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,3,2,1,50.0,,0,,,,0,,,,,,46.37,OTHER_ROUTE
LMS / e-learning platform software,TED,NOR,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,1,8.0,0.0,,,,46.25,OTHER_ROUTE
Software licence renewal / licensing,TED,MKD,UNKNOWN,UNKNOWN,4,1,1,100.0,,0,,,,0,,,,,,46.25,OTHER_ROUTE
Translation services,TED,PL,UNKNOWN,PLN,4,4,0,0.0,720475.965,6,287756.2525,633004.075,1091644.51,6,1.5,33.33,8,50.0,3111.11,46.06,OTHER_ROUTE
Promotional merchandise / branded goods,TED,NOR,UNKNOWN,NOK,4,1,1,100.0,4000000.0,1,4000000.0,4000000.0,4000000.0,2,6.0,0.0,1,100.0,10000.0,45.75,OTHER_ROUTE
Commercial printing / print production,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,4,4,0,0.0,,6,170500.0,250000.0,250000.0,0,,,7,14.29,1428.57,45.71,DIRECT_BUYER
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,3,3,0,0.0,73000.0,0,,,,1,28.0,0.0,1,100.0,10000.0,45.01,OPEN_BID
Market research / surveys / polling,TED,DNK,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,0,,,,,,44.34,OTHER_ROUTE
Media / press monitoring,TED,ITA,UNKNOWN,EUR,3,1,1,100.0,821311.47,1,6890000.0,6890000.0,6890000.0,1,4.0,0.0,1,100.0,10000.0,44.04,OTHER_ROUTE
Website maintenance / hosting / support,TED,AUT,UNKNOWN,UNKNOWN,4,4,0,0.0,,0,,,,5,1.0,100.0,3,84.62,7278.11,43.96,OTHER_ROUTE
SaaS / cloud software subscription,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,4,4,0,0.0,2334808.0,2,124425.25,131283.5,138141.75,2,1.0,100.0,3,33.33,3333.33,43.56,OTHER_ROUTE
Software licence renewal / licensing,TED,LUX,UNKNOWN,UNKNOWN,3,1,1,100.0,,0,,,,1,1.0,100.0,1,100.0,10000.0,43.44,OTHER_ROUTE
SEO / digital marketing,TED,ES,UNKNOWN,EUR,4,4,0,0.0,319174.94,0,,,,0,,,,,,43.06,OTHER_ROUTE
Annual report / publication layout-production,France,FRANCE,COMPETITIVE_OTHER,EUR,3,3,0,0.0,,0,,,,0,,,,,,43.01,OPEN_BID
Market research / surveys / polling,Germany,GERMANY,OPEN_PUBLIC,EUR,5,0,0,0.0,,0,,,,0,,,,,,42.86,OPEN_BID
Media / press monitoring,Quebec,CANADA - QUEBEC,UNKNOWN,CAD,3,3,0,0.0,,4,287395.99,316332.95999999996,345269.93,4,3.0,0.0,2,50.0,5000.0,42.71,OTHER_ROUTE
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,3,3,0,0.0,,3,81524.5,88064.0,88750.0,0,,,3,33.33,3333.33,42.61,OPEN_BID
Social media / community management,Germany,GERMANY,COMPETITIVE_OTHER,EUR,3,3,0,0.0,,2,283.40500000000003,425.63,567.855,3,4.25,0.0,2,66.67,5555.56,42.61,OPEN_BID
