micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Website design / redesign / development,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,20,17,3,17.65,,20,89174.61,192205.0,287129.8075,20,7.5,0.0,13,15.0,900.0,72.46,OPEN_BID
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,16,14,1,7.14,,21,118031.32,166575.28,180000.0,21,5.5,14.29,14,14.29,839.0,72.25,OPEN_BID
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,23,19,3,15.79,1600000.0,5,252000.0,589500.0,19999999.0,2,4.0,0.0,17,21.54,1492.31,71.94,OTHER_ROUTE
Commercial printing / print production,Belgium,BE,UNKNOWN,UNKNOWN,83,53,15,28.3,,0,,,,0,,,,,,71.61,OTHER_ROUTE
Website design / redesign / development,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,26,21,5,23.81,71000.0,43,5000000.0,5000000.0,5000000.0,44,29.5,0.0,41,4.26,267.09,71.49,OPEN_BID
Commercial printing / print production,France,FRANCE,UNKNOWN,EUR,58,53,4,7.55,,15,72369.5,480000.0,670000.0,0,,,6,16.67,1666.67,71.21,OTHER_ROUTE
SEO / digital marketing,TED,ESP,UNKNOWN,EUR,55,3,2,66.67,485384.69,55,28771.165,112933.8,319543.595,45,5.0,31.11,8,50.94,3292.99,71.06,OTHER_ROUTE
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,22,20,2,10.0,1445478.38,9,68000.0,83886.0,242100.0,3,1.0,100.0,7,20.0,1600.0,70.86,OTHER_ROUTE
Website design / redesign / development,France,FRANCE,COMPETITIVE_OTHER,EUR,29,28,1,3.57,,2,59647.75,63098.5,66549.25,0,,,2,50.0,5000.0,70.84,OPEN_BID
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,22,21,1,4.76,174000.0,22,105875.8325,365000.0,686367.0,25,8.0,0.0,46,7.14,387.58,70.68,OPEN_BID
Graphic design / DTP / visual identity,Belgium,BE,UNKNOWN,UNKNOWN,57,46,7,15.22,,0,,,,0,,,,,,70.63,OTHER_ROUTE
Media / press monitoring,Canada federal,CANADA,OPEN_PUBLIC,CAD,7,5,2,40.0,,1,45200.0,45200.0,45200.0,0,,,1,100.0,10000.0,70.56,OPEN_BID
Graphic design / DTP / visual identity,Canada federal,CANADA,OPEN_PUBLIC,CAD,10,9,1,11.11,,5,200238.5,600000.0,1272527.54,0,,,7,14.29,1428.57,70.38,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,23,20,2,10.0,277500.0,19,120500.0,320000.0,656500.0,20,18.0,0.0,36,15.0,590.35,70.28,OPEN_BID
Video production / editing / motion,France,FRANCE,OPEN_PUBLIC,EUR,21,20,1,5.0,,3,183600.0,350000.0,575000.0,0,,,3,33.33,3333.33,70.24,OPEN_BID
Commercial printing / print production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,23,19,3,15.79,180000.0,25,0.01,50000.0,272500.0,35,10.0,0.0,49,7.59,324.77,70.06,OPEN_BID
Transcription / speech-to-text,France,FRANCE,COMPETITIVE_OTHER,EUR,18,17,1,5.88,,3,26929.0,50000.0,67500.0,0,,,4,40.0,2800.0,69.94,OPEN_BID
SEO / digital marketing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,26,25,1,4.0,120000.0,12,161188.215,385454.0,467500.0,12,11.0,0.0,14,7.69,739.64,69.86,OPEN_BID
Software licence renewal / licensing,Canada federal,CANADA,OPEN_PUBLIC,CAD,22,4,1,25.0,,9,69732.3,510618.9,978530.73,0,,,9,11.11,1111.11,69.81,OPEN_BID
Media / press monitoring,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,15,2,1,50.0,,7,62715.0,70000.0,110810.625,0,,,5,42.86,2653.06,69.57,OPEN_BID
Translation services,France,FRANCE,COMPETITIVE_OTHER,EUR,22,21,1,4.76,,3,15000.0,20000.0,27834.2,0,,,4,25.0,2500.0,69.46,OPEN_BID
Graphic design / DTP / visual identity,Germany,GERMANY,COMPETITIVE_OTHER,EUR,7,5,1,20.0,,5,35600.0,74920.0,144000.0,6,4.0,0.0,8,14.29,1326.53,69.31,OPEN_BID
Media / press monitoring,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,20,18,2,11.11,88303.0,17,22000.0,66000.0,80000.0,16,7.0,0.0,12,27.78,1828.7,69.24,OPEN_BID
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,21,19,2,10.53,,20,37674.9875,57600.0,92687.495,0,,,20,9.52,521.54,69.07,DIRECT_BUYER
Website design / redesign / development,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,15,2,13.33,132000.0,13,35960.0,72000.0,200000.0,13,12.0,15.38,11,15.38,1094.67,68.78,OPEN_BID
Translation services,TED,ES,UNKNOWN,EUR,22,20,2,10.0,477397.92000000004,19,1.0,26.0,181798.1,19,3.0,26.32,16,15.79,948.75,68.37,OTHER_ROUTE
Social media / community management,France,FRANCE,OPEN_PUBLIC,EUR,13,12,1,8.33,,4,88902.0,179373.0,350647.5,0,,,3,33.33,3333.33,68.18,OPEN_BID
SEO / digital marketing,Germany,GERMANY,COMPETITIVE_OTHER,EUR,8,5,1,20.0,391660.0,1,348400.0,348400.0,348400.0,5,5.75,0.0,5,20.0,2000.0,67.83,OPEN_BID
Translation services,TED,POL,UNKNOWN,UNKNOWN,32,4,2,50.0,,0,,,,5,3.0,40.0,4,65.22,4971.64,67.43,OTHER_ROUTE
SaaS / cloud software subscription,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,24,15,3,20.0,,21,16047.86,30625.0,55200.0,0,,,23,8.33,451.39,67.34,DIRECT_BUYER
Website design / redesign / development,France,FRANCE,UNKNOWN,EUR,18,17,1,5.88,,5,125937.68,198575.0,208185.0,0,,,5,20.0,2000.0,67.04,OTHER_ROUTE
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,8,7,1,14.29,1030000.0,6,34878.75,81686.0,204560.5,1,6.0,0.0,5,33.33,2222.22,66.93,OPEN_BID
SEO / digital marketing,TED,ESP,UNKNOWN,UNKNOWN,20,1,1,100.0,,0,,,,15,1.0,80.0,4,93.48,8752.36,66.86,OTHER_ROUTE
Social media / community management,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,10,10,0,0.0,33900.0,5,180810.0,359728.0,466170.0,6,3.5,33.33,7,14.29,1428.57,66.82,OPEN_BID
Social media / community management,Ireland,IRELAND,OPEN_PUBLIC,EUR,8,7,1,14.29,30000.0,3,65157.58,80481.0,133990.5,3,3.0,0.0,2,66.67,5555.56,66.69,OPEN_BID
Translation services,France,FRANCE,UNKNOWN,EUR,11,9,2,22.22,,2,280000.0,320000.0,360000.0,0,,,,,,66.64,OTHER_ROUTE
Translation services,Germany,GERMANY,COMPETITIVE_OTHER,EUR,14,4,2,50.0,,0,,,,1,7.0,0.0,1,100.0,10000.0,66.63,OPEN_BID
SEO / digital marketing,France,FRANCE,COMPETITIVE_OTHER,EUR,8,5,2,40.0,,0,,,,0,,,8,33.33,1851.85,66.57,OPEN_BID
Translation services,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,14,13,1,7.69,2060000.0,12,6810.0,87188.4,271125.0,18,4.0,16.67,14,15.0,850.0,66.54,OTHER_ROUTE
WordPress / Drupal / CMS implementation,France,FRANCE,OPEN_PUBLIC,EUR,6,5,1,20.0,,2,244175.25,406410.5,568645.75,0,,,6,50.0,3000.0,66.42,OPEN_BID
Commercial printing / print production,Ireland,IRELAND,OPEN_PUBLIC,EUR,8,7,1,14.29,100000.0,4,92500.0,108500.0,287750.0,5,6.0,20.0,7,20.0,1733.33,66.39,OPEN_BID
Market research / surveys / polling,France,FRANCE,COMPETITIVE_OTHER,EUR,16,14,2,14.29,,1,48065.0,48065.0,48065.0,0,,,1,100.0,10000.0,66.27,OPEN_BID
Translation services,Belgium,BE,UNKNOWN,UNKNOWN,46,42,4,9.52,,0,,,,0,,,,,,66.24,OTHER_ROUTE
