warehouse_source,country,route_band,records,buyers,known_lane,open_world_candidates,median_value,avg_priority
TED,CAN,UNKNOWN,3,1,0,1,3500000.0,51.38
TED,GAB,UNKNOWN,3,2,0,1,2450000.0,53.74
TED,COD,UNKNOWN,3,2,0,2,6000000.0,42.96
TED,TJ,UNKNOWN,3,2,0,0,2973500.0,54.25333333333333
TED,PRY,UNKNOWN,3,3,0,0,43503039.0,51.32
TED,PER,UNKNOWN,3,2,0,0,2000000.0,52.12
TED,ID,UNKNOWN,3,2,0,0,5513775.0,49.12
TED,YT,UNKNOWN,3,2,0,1,10092.0,41.733333333333334
TED,SN,UNKNOWN,3,2,0,1,8000000000.0,43.86
TED,NGA,UNKNOWN,3,3,0,1,8800000.0,51.34
TED,MX,UNKNOWN,3,3,0,0,43675444.0,48.653333333333336
TED,UZB,UNKNOWN,3,2,0,0,7532756.0,53.446666666666665
TED,CHL,UNKNOWN,3,2,0,0,1000000.0,51.96
TED,LA,UNKNOWN,2,2,0,1,9272222.5,49.98
TED,ZM,UNKNOWN,2,2,0,1,6039221.095,43.29
TED,GRL,UNKNOWN,2,2,0,0,1342500000.0,52.28
TED,DJI,UNKNOWN,2,2,0,0,3000000.0,46.64
TED,SSD,UNKNOWN,2,2,0,0,2370120.0,47.54
TED,LCA,UNKNOWN,2,1,0,1,407500.0,50.03
TED,1A0,UNKNOWN,2,2,0,0,600000.0,43.7
TED,MM,UNKNOWN,2,2,0,0,189563757.1275,57.18
TED,ST,UNKNOWN,2,2,0,0,6947804.7675,51.54
TED,PE,UNKNOWN,2,1,0,0,1903675.0,54.49
TED,YE,UNKNOWN,2,1,0,0,270000.0,48.35
TED,GNB,UNKNOWN,2,1,0,0,4230000.0,46.64
TED,UG,UNKNOWN,2,2,0,0,1349900.0,45.9
TED,LBN,UNKNOWN,2,1,0,0,7300000.0,52.28
TED,ET,UNKNOWN,2,2,0,0,22090000.0,48.39
TED,TZ,UNKNOWN,2,2,0,0,900000000.0,49.09
TED,HND,UNKNOWN,2,2,0,0,4700000.0,52.28
TED,PA,UNKNOWN,2,2,0,0,46051657.88,46.64
TED,KOR,UNKNOWN,2,2,0,0,221499250.0,52.28
TED,BD,UNKNOWN,2,1,0,1,57973883.955,53.83
TED,KGZ,UNKNOWN,2,2,0,0,600000.0,46.4
TED,ZW,UNKNOWN,2,2,0,2,2100000.0,58.94
TED,SZ,UNKNOWN,2,2,0,0,2280000.0,49.79
TED,NIC,UNKNOWN,2,2,0,0,33369156.340000004,55.43
TED,GY,UNKNOWN,2,2,0,1,10190000.0,49.97
TED,GM,UNKNOWN,2,2,0,2,3339547.75,54.0
TED,RU,UNKNOWN,2,2,0,0,450000.0,47.65
TED,BDI,UNKNOWN,2,2,0,1,4745800.0,56.72
TED,GTM,UNKNOWN,2,2,0,0,20195000.0,52.48
TED,PNG,UNKNOWN,2,1,0,0,2050000.0,50.93
TED,US,UNKNOWN,2,1,0,0,1364525.0,58.1
TED,DZ,UNKNOWN,2,1,0,0,262500000.0,55.43
TED,AUS,UNKNOWN,2,2,0,0,1000000.0,46.4
TED,TG,UNKNOWN,2,2,0,1,1456020.0,50.43
TED,IL,UNKNOWN,2,2,0,1,14804669.0,58.52
TED,STP,UNKNOWN,2,2,0,1,1392450.0,57.58
TED,CD,UNKNOWN,2,1,0,0,4900250.0,55.78
TED,MZ,UNKNOWN,2,2,0,0,290000.0,42.5
TED,SGP,UNKNOWN,1,1,0,0,400000.0,49.4
TED,LKA,UNKNOWN,1,1,0,1,844250.0,58.46
TED,PK,UNKNOWN,1,1,0,0,2114100.0,55.78
TED,PG,UNKNOWN,1,1,0,0,3621300.0,55.78
TED,BWA,UNKNOWN,1,1,0,0,3520000.0,52.28
TED,QA,UNKNOWN,1,1,0,0,,41.0
TED,SYR,UNKNOWN,1,1,0,0,,41.0
TED,PS,UNKNOWN,1,1,0,0,,41.0
TED,PM,UNKNOWN,1,1,0,0,,35.6
TED,SV,UNKNOWN,1,1,0,0,1901050.0,55.3
TED,GH,UNKNOWN,1,1,0,0,2000000.0,52.28
TED,HN,UNKNOWN,1,1,0,0,6802000.0,53.68
TED,MDV,UNKNOWN,1,1,0,0,1134408.0,47.8
Canada federal,Canada,UNKNOWN,1,1,0,0,,41.0
TED,LK,UNKNOWN,1,1,0,1,6978577053.05,61.78
TED,BB,UNKNOWN,1,1,0,0,,41.0
TED,GT,UNKNOWN,1,1,0,0,1846000.0,53.2
TED,LY,UNKNOWN,1,1,0,0,,41.0
TED,VE,UNKNOWN,1,1,0,0,8260000.0,52.28
TED,PAN,UNKNOWN,1,1,0,0,1680000.0,51.8
TED,SYC,UNKNOWN,1,1,0,0,,35.6
