lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
Website / CMS build or redesign,DIRECT_NONCOMPETITIVE,CAD,106,90,39905.045,31079.9,52783.295,1.0,82.76132075471698
Uniforms / PPE resale,COMPETITIVE_OTHER,EUR,106,85,390000.0,44182.2,1725000.0,4.0,60.124716981132075
Website support / accessibility / hosting,COMPETITIVE_OTHER,GBP,103,67,244437.5,80743.75,3491077.0,3.0,74.09436893203883
SEO / digital marketing,UNKNOWN,EUR,102,69,300000.0,207540.0,605000.0,5.0,72.03921568627452
SEO / digital marketing,OPEN_PUBLIC,EUR,102,52,320000.0,120000.0,1938130.75,2.0,73.80980392156863
Document digitization / OCR / scanning,UNKNOWN,UNKNOWN,101,77,780000.0,251983.485,2250000.0,4.0,67.20930693069307
Call centre / helpdesk operations,OPEN_PUBLIC,GBP,99,93,700000.0,331607.1,3159416.855,5.0,68.80585858585859
Website support / accessibility / hosting,UNKNOWN,UNKNOWN,99,90,1124990.0,346925.0,2578493.25,7.0,70.97838383838383
Translation,OPEN_PUBLIC,GBP,99,79,432000.0,140000.0,1483400.0,12.0,79.12161616161616
Graphic design / layout / DTP,UNKNOWN,EUR,98,70,295320.0,130099.2,600000.0,5.0,70.13102040816327
Social media / community management,OPEN_PUBLIC,GBP,96,81,240000.0,83333.0,640000.0,5.0,78.28020833333333
Video production / post-production,OPEN_PUBLIC,EUR,95,58,395000.0,187330.26,1135000.0,5.5,70.42147368421053
Social media / community management,UNKNOWN,EUR,95,45,555750.0,241106.84999999998,876163.635,3.0,72.84294736842105
Call centre / helpdesk operations,UNKNOWN,GBP,92,79,2364003.0,400000.0,24550000.0,,63.72
Software licences / SaaS resale,COMPETITIVE_OTHER,CAD,91,14,147743.565,81976.29250000001,545534.56,,69.59274725274726
Website / CMS build or redesign,DIRECT_NONCOMPETITIVE,GBP,91,74,73333.33,29492.25,201530.0,1.0,79.20791208791209
Courier / mail fulfilment,COMPETITIVE_OTHER,CAD,90,11,183287.94,92681.25,445028.1825,,57.35666666666667
Survey / market research,OPEN_PUBLIC,CAD,88,63,194200.0,103096.75,323291.0,3.0,69.85977272727273
Media / press monitoring,OPEN_PUBLIC,EUR,88,62,75000.0,50000.0,162500.0,3.0,71.23818181818181
Training / e-learning,COMPETITIVE_OTHER,EUR,88,52,370645.0,1934.3075,2780140.0,3.0,67.52727272727273
Training / e-learning,COMPETITIVE_OTHER,GBP,87,71,159231.66499999998,59225.5,2207061.25,3.5,71.6048275862069
Uniforms / PPE resale,UNKNOWN,NOK,87,63,7000000.0,3700000.0,15000000.0,3.0,68.28367816091954
Graphic design / layout / DTP,UNKNOWN,UNKNOWN,85,69,354573.02,180787.875,2418437.635,3.0,65.87882352941176
Transcription / captioning,OPEN_PUBLIC,EUR,81,74,300000.0,231597.5,413580.0,,75.10444444444444
Call centre / helpdesk operations,COMPETITIVE_OTHER,EUR,79,53,1296803.83,1.0,6165642.245,1.0,61.77443037974683
Recruitment / temporary staffing,COMPETITIVE_OTHER,CAD,77,40,462735.0,129440.37,2933492.7800000003,,58.63064935064935
Survey / market research,UNKNOWN,EUR,76,65,300000.0,176243.0,676927.495,,62.51657894736842
Social media / community management,COMPETITIVE_OTHER,EUR,76,59,520000.0,49500.0,3500000.0,4.0,72.22368421052632
Document digitization / OCR / scanning,UNKNOWN,EUR,76,66,600000.0,247900.0,2838775.0,3.0,74.06894736842105
Website support / accessibility / hosting,DIRECT_NONCOMPETITIVE,CAD,75,48,41510.18,29576.6,90000.0,1.0,72.8304
Courier / mail fulfilment,OPEN_PUBLIC,GBP,75,60,800000.0,178128.75,3307840.4525,4.0,65.57413333333334
Signage / display production,UNKNOWN,GBP,75,64,1458130.3199999998,96250.0,4550000.0,14.0,66.6024
Signage / display production,COMPETITIVE_OTHER,GBP,74,65,365531.945,66715.24,4000000.0,4.0,67.76
Event support / production,OPEN_PUBLIC,GBP,72,54,300000.0,127291.95000000001,999151.2474999999,4.0,66.35472222222222
Translation,DIRECT_NONCOMPETITIVE,EUR,71,8,375174.0,894.44,1800000.0,1.0,67.55323943661972
Social media / community management,UNKNOWN,UNKNOWN,70,54,53866.0,1590.78125,274237.5,4.0,67.43114285714286
Document digitization / OCR / scanning,COMPETITIVE_OTHER,EUR,70,47,47300.0,11475.25,978019.375,3.0,68.87828571428571
