warehouse_source,country,buyer_name,lean_lane,route_band,records,median_value,avg_priority
TED,BGR,"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",OTHER / OPEN WORLD,UNKNOWN,766,80977.15,49.7598955613577
TED,FIN,Sansia Oy,OTHER / OPEN WORLD,UNKNOWN,765,600000.0,49.2239477124183
Belgium,BE,Regie der Gebouwen - Vlaanderen Regio Oost,OTHER / OPEN WORLD,UNKNOWN,765,,40.98988235294118
TenderNed,Netherlands,Staatsbosbeheer,OTHER / OPEN WORLD,UNKNOWN,757,1.0,37.1287714663144
TED,SWE,Västra Götalandsregionen,OTHER / OPEN WORLD,UNKNOWN,754,12000000.0,53.323236074270554
TED,FIN,Väylävirasto,OTHER / OPEN WORLD,UNKNOWN,753,1206575.0,47.45946879150066
TenderNed,Netherlands,Gemeente Den Haag,OTHER / OPEN WORLD,UNKNOWN,751,1333333.0,44.52434087882823
Quebec,Canada - Quebec,CISSS Montérégie-Ouest,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,748,46212.485,55.85483957219251
TED,LTU,Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos (PV),OTHER / OPEN WORLD,UNKNOWN,745,41487.6025,45.90553020134228
TenderNed,Netherlands,Gemeente Amsterdam,OTHER / OPEN WORLD,UNKNOWN,740,800000.0,42.91383783783784
TED,ESP,OSAKIDETZA - Servicio Vasco de Salud - Organización Central,OTHER / OPEN WORLD,UNKNOWN,735,699600.0,52.6672925170068
Quebec,Canada - Quebec,Société des établissements de plein air du Québec (Sépaq).,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,730,45000.0,55.316931506849315
TED,ROU,COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,OTHER / OPEN WORLD,UNKNOWN,721,2005522.55,53.51583911234397
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux de Lanaudière,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,713,47880.0,55.448022440392705
United Kingdom,United Kingdom,"Sutton, Achieving for Children and Kingston",OTHER / OPEN WORLD,OPEN_PUBLIC,713,3454.29,35.922861150070126
Quebec,Canada - Quebec,CIUSSS du Saguenay - Lac-Saint-Jean,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,710,57550.0,55.128535211267604
United Kingdom,United Kingdom,Cumberland Council,OTHER / OPEN WORLD,OPEN_PUBLIC,706,869.86,47.127677053824364
United Kingdom,United Kingdom,UK Research and Innovation,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,706,15668.75,46.90025495750708
TED,POL,Generalna Dyrekcja Dróg Krajowych i Autostrad,OTHER / OPEN WORLD,UNKNOWN,704,4980812.0,49.07193181818182
TED,ESP,Ferrocarrils de la Generalitat de Catalunya,OTHER / OPEN WORLD,UNKNOWN,702,263814.0,52.24680911680912
Germany,Germany,DAK-Gesundheit,OTHER / OPEN WORLD,OPEN_PUBLIC,689,1.0,43.32597968069666
Quebec,Canada - Quebec,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),OTHER / OPEN WORLD,LIMITED_INVITATION,687,28044.0,51.70893740902474
Quebec,Canada - Quebec,Ville de Laval,OTHER / OPEN WORLD,OPEN_PUBLIC,684,687347.385,54.08842105263158
Belgium,BE,Enabel,OTHER / OPEN WORLD,UNKNOWN,680,,41.48335294117647
TED,CYP,Υπουργείο Υγείας,OTHER / OPEN WORLD,UNKNOWN,679,371249.0,52.22780559646539
TED,PRT,Autoridade Tributária e Aduaneira,OTHER / OPEN WORLD,UNKNOWN,674,414484.0,49.50759643916914
TED,NOR,STATSBYGG,OTHER / OPEN WORLD,UNKNOWN,674,6000000.0,47.739940652818994
Quebec,Canada - Quebec,SANTÉ QUÉBEC - Centre Hospitalier de l'Université de Montréal (CHUM),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,668,82114.515,56.410898203592815
Belgium,BE,Universiteit Gent,OTHER / OPEN WORLD,UNKNOWN,665,,41.21058646616542
TED,CZE,Státní pozemkový úřad,OTHER / OPEN WORLD,UNKNOWN,663,2952250.0,50.98220211161387
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux (CISSS) des Laurentides,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,660,63912.0,55.98763636363636
TED,ROU,REGIA NATIONALA A PADURILOR - ROMSILVA RA,OTHER / OPEN WORLD,UNKNOWN,658,231889.65999999997,52.369908814589664
Canada federal,Canada,Department of National Defence (DND),OTHER / OPEN WORLD,COMPETITIVE_OTHER,658,132916.95500000002,44.92079027355623
France,France,Bordeaux Métropole,OTHER / OPEN WORLD,OPEN_PUBLIC,649,1000000.0,48.524406779661014
Quebec,Canada - Quebec,Ministère des Ressources naturelles et des Forêts,OTHER / OPEN WORLD,OPEN_PUBLIC,641,79544.2,52.57478939157566
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux de Laval,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,640,49818.0,55.35540625
Quebec,Canada - Quebec,Ville de Longueuil,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,638,54463.66,54.74025078369906
Quebec,Canada - Quebec,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,629,60000.0,55.49144674085851
United Kingdom,United Kingdom,Ministry of Defence,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,628,857270.51,57.53815286624204
TED,CZE,Ministerstvo vnitra,OTHER / OPEN WORLD,UNKNOWN,623,7132157.5,55.49223113964687
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux de la Gaspésie.,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,621,38000.0,54.711497584541064
Quebec,Canada - Quebec,CIUSSS du Centre-ouest-de-l'Île-de-Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,615,58800.0,55.9059512195122
TED,LVA,Jelgavas valstspilsētas pašvaldība,OTHER / OPEN WORLD,UNKNOWN,615,25213.02,44.38539837398374
TED,CZE,Fakultní nemocnice Hradec Králové,OTHER / OPEN WORLD,UNKNOWN,613,5458272.0,55.6721370309951
Germany,Germany,Bundesanstalt für Immobilienaufgaben,OTHER / OPEN WORLD,OPEN_PUBLIC,613,111106.53,46.77905383360522
Quebec,Canada - Quebec,Ville de Montréal - Service du développement économique,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,609,76095.97,56.24387520525452
Germany,Germany,"Bundesrepublik Deutschland, vertreten durch das Bundesministerium des Innern und für Heimat, vertreten durch das Beschaffungsamt des BMI",OTHER / OPEN WORLD,OPEN_PUBLIC,609,1900840.3,55.38144499178982
TenderNed,Netherlands,VNG Realisatie,OTHER / OPEN WORLD,UNKNOWN,608,1234.56,38.209802631578945
TED,CZE,"ČEZ, a. s.",OTHER / OPEN WORLD,UNKNOWN,604,17634480.5,51.896390728476824
TED,LVA,Rīgas Stradiņa universitāte,OTHER / OPEN WORLD,UNKNOWN,599,35550.0,44.36721202003339
United Kingdom,United Kingdom,NHS South Yorkshire Integrated Care Board,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,596,1.0,47.71711409395973
TED,POL,Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi,OTHER / OPEN WORLD,UNKNOWN,593,555767.5,49.88964586846543
TED,POL,Bank Gospodarstwa Krajowego,OTHER / OPEN WORLD,UNKNOWN,588,2467500.0,51.66663265306122
TED,POL,Uniwersyteckie Centrum Kliniczne Warszawskiego Uniwersytetu Medycznego,OTHER / OPEN WORLD,UNKNOWN,588,327545.33999999997,50.150884353741496
TED,PRT,Infraestruturas de Portugal S.A.,OTHER / OPEN WORLD,UNKNOWN,585,999999.99,49.641162393162396
Quebec,Canada - Quebec,Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale 1,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,584,63705.0,56.21345890410959
Quebec,Canada - Quebec,Université de Sherbrooke -Service des ressources financières- Section de l'approvisionnement,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,584,50742.66,55.00996575342466
Quebec,Canada - Quebec,Université du Québec à Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,578,45238.130000000005,54.89795847750865
Canada federal,Canada,Shared Services Canada,OTHER / OPEN WORLD,OPEN_PUBLIC,577,76713.455,52.92221837088388
TED,LVA,Rīgas valstspilsētas pašvaldības Centrālās administrācijas Iepirkumu pārvalde,OTHER / OPEN WORLD,UNKNOWN,570,331573.6375,46.39989473684211
Quebec,Canada - Quebec,Ville de Gatineau.,OTHER / OPEN WORLD,OPEN_PUBLIC,564,328919.515,54.699503546099294
TED,POL,SZPITAL UNIWERSYTECKI W KRAKOWIE,OTHER / OPEN WORLD,UNKNOWN,564,513702.5,54.4954609929078
TED,AUT,Autobahnen- und Schnellstraßen- Finanzierungs-Aktiengesellschaft,OTHER / OPEN WORLD,UNKNOWN,564,853355.0,50.81354609929078
TED,AUT,Stadt Wien - Wiener Wohnen,OTHER / OPEN WORLD,UNKNOWN,562,447574.655,48.09825622775801
TED,EST,Riigi Tugiteenuste Keskus,OTHER / OPEN WORLD,UNKNOWN,561,160000.0,51.6751871657754
United Kingdom,United Kingdom,Westmorland and Furness Council,OTHER / OPEN WORLD,OPEN_PUBLIC,560,1284.8,47.365
TED,DNK,Amgros I/S,OTHER / OPEN WORLD,UNKNOWN,559,2012500.0,50.37309481216458
United Kingdom,United Kingdom,London Borough of Haringey - Passenger Transport Services,OTHER / OPEN WORLD,OPEN_PUBLIC,559,32.14,40.98032200357782
Quebec,Canada - Quebec,École de technologie supérieure,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,556,43493.5,55.013273381294965
TED,CZE,Fakultní nemocnice Brno,OTHER / OPEN WORLD,UNKNOWN,556,10773882.85,52.9713309352518
France,France,Nantes Métropole,OTHER / OPEN WORLD,OPEN_PUBLIC,554,400000.0,47.2959927797834
Germany,Germany,HIL Heeresinstandsetzungslogistik GmbH,OTHER / OPEN WORLD,COMPETITIVE_OTHER,553,1998000.0,45.01533453887884
TED,POL,Agencja Mienia Wojskowego,OTHER / OPEN WORLD,UNKNOWN,552,89164.8,46.66304347826087
Ireland,Ireland,Health Service Executive (HSE),OTHER / OPEN WORLD,OPEN_PUBLIC,548,800000.0,50.09554744525548
TED,LTU,UAB Ignitis grupės paslaugų centras (PV),OTHER / OPEN WORLD,UNKNOWN,539,119325.0,47.565417439703154
Belgium,BE,Vrije Universiteit Brussel,OTHER / OPEN WORLD,UNKNOWN,539,,41.54033395176252
United Kingdom,United Kingdom,UK Research and Innovation,OTHER / OPEN WORLD,COMPETITIVE_OTHER,532,23626.02,46.7868045112782
Quebec,Canada - Quebec,Centre Intégré de Santé et de Services Sociaux de l'Outaouais,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,530,56565.42,55.35796226415094
