warehouse_source,country,category,subcategory,lean_fit,automation_potential,onsite_requirement,records,buyers,median_estimated_value,median_bidders
United Kingdom,United Kingdom,Other,Community health services,15,20,UNKNOWN,925,224,853000.0,
TED,LU,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,910,231,587792.5,
United Kingdom,United Kingdom,Other,General-practitioner services,15,20,UNKNOWN,900,115,376543.5,
TED,HUN,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,900,216,190000000.0,
TED,GRC,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,898,435,883192.645,
TED,HRV,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,896,155,466000.0,
United Kingdom,United Kingdom,Other,Repair and maintenance services,15,20,UNKNOWN,895,421,1200000.0,
TED,LVA,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,886,139,,
TED,PL,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,877,372,1421479.79,
TED,EST,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,842,88,625000.0,
TED,DNK,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,837,239,17000000.0,
United Kingdom,United Kingdom,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,825,450,494000.0,
Quebec,Canada - Quebec,Language,Translation / transcription,90,90,UNKNOWN,813,135,640199.0,1.0
TED,ROU,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,797,393,1625005.0,
TED,MDA,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,796,149,4823343.475,
TED,CHE,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,796,355,,
TED,ESP,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,784,422,675969.135,
TED,CH,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,772,404,702618.79,
TED,ROU,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,770,342,2114264.11,
TED,CZ,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,766,229,9071789.51,
TED,SWE,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,763,279,9000000.0,
TenderNed,Netherlands,Web,Website / CMS,88,UNKNOWN,UNKNOWN,736,217,500000.0,
TED,CZE,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,707,318,9750000.0,
United Kingdom,United Kingdom,Other,Miscellaneous health services,15,20,UNKNOWN,677,116,750000.0,
TED,CHE,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,673,404,,
TED,POL,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,668,308,1038202.235,
TED,DNK,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,663,219,25000000.0,
TED,FIN,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,658,226,600000.0,
Ireland,Ireland,Other,"Architectural, construction, engineering and inspection services.",15,20,UNKNOWN,648,183,250000.0,
TED,ITA,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,637,357,993100.0,
TED,CY,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,619,95,469365.0,
TED,LTU,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,615,155,64644.630000000005,
United Kingdom,United Kingdom,Other,Hire of passenger transport vehicles with driver,15,20,UNKNOWN,614,48,6000000.0,
TED,MK,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,614,195,12149151.065000001,
Canada federal,Canada,Automation / software,Software / automation,72,72,UNKNOWN,598,126,,
TED,SVK,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,577,162,1203936.0,
TenderNed,Netherlands,Language,Translation / transcription,90,UNKNOWN,UNKNOWN,573,148,278000.0,
TED,HUN,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,550,233,180549009.0,
TED,RO,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,543,312,2202540.0,
TenderNed,Netherlands,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,539,167,510423.18,
TED,CZ,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,530,204,7593000.0,
TED,NOR,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,529,215,6400000.0,
Canada federal,Canada,Creative / communications,Design / publishing,80,80,UNKNOWN,525,104,,
TED,PL,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,524,313,1288500.0,
TED,ROU,Printing,Print / routing,66,UNKNOWN,UNKNOWN,517,224,4514320.0,
TED,PT,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,511,126,365025.57999999996,
United Kingdom,United Kingdom,Language,Translation / transcription,88,88,UNKNOWN,507,333,722872.0,
Quebec,Canada - Quebec,Document / data,Digitization / OCR,92,92,UNKNOWN,505,222,138999.0,1.0
TED,DNK,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,502,179,9200000.0,
TED,MT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,499,37,363893.67,
TED,SWE,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,482,251,7900000.0,
TenderNed,Netherlands,Printing,Print / routing,66,UNKNOWN,UNKNOWN,425,242,460000.0,
France,France,Language,Translation / transcription,90,90,UNKNOWN,425,341,,
United Kingdom,United Kingdom,Other,"Architectural, construction, engineering and inspection services",15,20,UNKNOWN,423,217,300000.0,
United Kingdom,United Kingdom,Other,School catering services,15,20,UNKNOWN,420,376,2099177.0,
TED,ESP,Language,Translation / transcription,90,UNKNOWN,UNKNOWN,416,217,650499.0,
France,France,Document / data,Digitization / OCR,92,92,UNKNOWN,415,341,,
TED,SE,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,412,233,7200000.0,
Canada federal,Canada,Other,*Laboratory and scientific equipment,15,20,UNKNOWN,406,42,,
TED,IT,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,404,250,695661.0,
TED,SVK,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,397,141,816620.8,
TED,IT,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,391,221,914625.0,
TED,BG,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,388,112,186249.0,
France,France,Web,Website / CMS,88,88,UNKNOWN,383,334,15000.0,
TED,ES,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,383,252,555715.0,
TED,CZE,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,383,168,11591000.0,
TED,NOR,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,378,152,10000000.0,
TED,LT,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,372,79,165000.0,
Ireland,Ireland,Other,Building construction work.,15,20,UNKNOWN,366,178,900000.0,
Ireland,Ireland,Other,Education and training services.,15,20,UNKNOWN,358,120,180000.0,
United Kingdom,United Kingdom,Other,Building construction work,15,20,UNKNOWN,354,195,9000000.0,
United Kingdom,United Kingdom,Other,Refuse and waste related services,15,20,UNKNOWN,353,225,1500000.0,
TED,LUX,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,351,92,5400000.0,
Ireland,Ireland,Other,Financial consultancy services.,15,20,UNKNOWN,338,67,350000.0,
Ireland,Ireland,Other,Architectural and related services.,15,20,UNKNOWN,334,132,215000.0,
United Kingdom,United Kingdom,Other,Pharmacy services,15,20,UNKNOWN,328,72,200000.0,
Canada federal,Canada,Other,*Temporary personnel services,15,20,UNKNOWN,317,21,,
United Kingdom,United Kingdom,Other,Hospital and related services,15,20,UNKNOWN,305,96,9511500.0,
United Kingdom,United Kingdom,Other,"Laboratory, optical and precision equipments (excl. glasses)",15,20,UNKNOWN,302,92,350000.0,
Ireland,Ireland,Other,UNKNOWN,15,20,UNKNOWN,296,13,,
Canada federal,Canada,Other,UNKNOWN,15,20,UNKNOWN,291,15,,
United Kingdom,United Kingdom,Other,School cleaning services,15,20,UNKNOWN,289,257,903750.0,
United Kingdom,United Kingdom,Other,"Other community, social and personal services",15,20,UNKNOWN,287,164,1220000.0,
United Kingdom,United Kingdom,Other,Research and development services and related consultancy services,15,20,UNKNOWN,286,121,300000.0,
TED,HRV,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,277,101,505000.0,
United Kingdom,United Kingdom,Other,Cleaning services,15,20,UNKNOWN,273,217,1400000.0,
Quebec,Canada - Quebec,Web,Website / CMS,88,88,UNKNOWN,271,174,110599.0,1.0
United Kingdom,United Kingdom,Other,Public road transport services,15,20,UNKNOWN,271,62,2638835.58,
TED,CYP,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,268,69,300000.0,
United Kingdom,United Kingdom,Other,Insurance services,15,20,UNKNOWN,268,216,1675000.0,
TED,PRT,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,261,136,645000.0,
TED,MD,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,258,47,4868900.0,
United Kingdom,United Kingdom,Other,Security services,15,20,UNKNOWN,255,192,1050000.0,
TED,GR,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,254,135,746400.0,
TED,NOR,Printing,Print / routing,66,UNKNOWN,UNKNOWN,252,130,10000000.0,
TED,LVA,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,249,61,650400.0,
United Kingdom,United Kingdom,Other,Legal services,15,20,UNKNOWN,249,186,4000000.0,
Canada federal,Canada,Language,Translation / transcription,88,88,UNKNOWN,246,106,,
United Kingdom,United Kingdom,Other,Grounds maintenance services,15,20,UNKNOWN,242,187,550000.0,
Ireland,Ireland,Other,"Laboratory, optical and precision equipments (excl. glasses).",15,20,UNKNOWN,238,29,140000.0,
Canada federal,Canada,Other,*Office furniture,15,20,UNKNOWN,236,64,,
Ireland,Ireland,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,233,96,130000.0,
United Kingdom,United Kingdom,Other,Pharmaceutical products,15,20,UNKNOWN,232,47,3840000.0,
TED,LIE,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,232,25,1060000.0,
United Kingdom,United Kingdom,Other,"Medical equipments, pharmaceuticals and personal care products",15,20,UNKNOWN,230,59,1089500.0,
Quebec,Canada - Quebec,Printing,Print / routing,66,66,UNKNOWN,225,120,6814449.0,1.0
TED,AUT,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,222,119,927394.0,
United Kingdom,United Kingdom,Other,Recruitment services,15,20,UNKNOWN,222,169,1850000.0,
TED,ROU,Language,Translation / transcription,90,UNKNOWN,UNKNOWN,218,77,5845279.98,
Ireland,Ireland,Other,Civil engineering consultancy services.,15,20,UNKNOWN,217,101,124500.0,
TED,NO,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,216,124,10000000.0,
United Kingdom,United Kingdom,Other,Psychiatrist or psychologist services,15,20,UNKNOWN,216,79,1064370.0,
United Kingdom,United Kingdom,Other,Dental practice and related services,15,20,UNKNOWN,216,82,2765000.0,
United Kingdom,United Kingdom,Other,Rehabilitation services,15,20,UNKNOWN,214,89,860000.0,
United Kingdom,United Kingdom,Document / data,Digitization / OCR,90,90,UNKNOWN,214,153,600000.0,
United Kingdom,United Kingdom,Other,Pathology services,15,20,UNKNOWN,211,76,2080000.0,
United Kingdom,United Kingdom,Other,"Sewage, refuse, cleaning and environmental services",15,20,UNKNOWN,210,159,850000.0,
TED,SI,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,207,72,436619.48,
TED,LVA,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,200,61,206611.57,
TED,CHE,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,197,145,,
TED,NO,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,196,108,8995000.0,
TED,HR,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,195,67,400000.0,
TED,RO,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,194,132,1570548.21,
TED,FI,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,185,92,777960.0,
TED,ROU,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,184,129,1489052.81,
TED,SWE,Document / data,Digitization / OCR,92,UNKNOWN,UNKNOWN,184,106,5500000.0,
TED,MLT,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,181,42,500000.0,
United Kingdom,United Kingdom,Other,Business and management consultancy and related services,15,20,UNKNOWN,174,119,1000000.0,
TED,HUN,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,172,92,126257965.0,
Canada federal,Canada,Other,*Marine construction services,15,20,UNKNOWN,171,7,,
TED,NOR,Web,Website / CMS,88,UNKNOWN,UNKNOWN,171,106,6000000.0,
TED,AUT,Web,Website / CMS,88,UNKNOWN,UNKNOWN,170,60,0.0,
TED,PL,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,164,105,1282589.15,
United Kingdom,United Kingdom,Other,Medical imaging services,15,20,UNKNOWN,164,83,5000000.0,
TED,CZ,Web,Website / CMS,88,UNKNOWN,UNKNOWN,164,5,108000.0,
TED,IS,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,162,26,72547340.0,
United Kingdom,United Kingdom,Other,Hospital services,15,20,UNKNOWN,160,64,550000.0,
Ireland,Ireland,Other,Legal services.,15,20,UNKNOWN,158,60,890000.0,
TED,RO,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,157,115,1525312.98,
TED,LUX,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,157,70,1750000.0,
Ireland,Ireland,Other,Research and development services and related consultancy services.,15,20,UNKNOWN,157,86,130000.0,
United Kingdom,United Kingdom,Other,Training services,15,20,UNKNOWN,156,109,400000.0,
United Kingdom,United Kingdom,Other,Financial and insurance services,15,20,UNKNOWN,154,122,3150000.0,
United Kingdom,United Kingdom,Other,Building and facilities management services,15,20,UNKNOWN,154,119,2500000.0,
Ireland,Ireland,Other,School books.,15,20,UNKNOWN,151,143,83745.0,
United Kingdom,United Kingdom,Other,Catering services,15,20,UNKNOWN,150,121,1500000.0,
United Kingdom,United Kingdom,Other,Repair and maintenance services of building installations,15,20,UNKNOWN,149,113,2000000.0,
TED,NOR,Language,Translation / transcription,90,UNKNOWN,UNKNOWN,149,92,11000000.0,
Canada federal,Canada,Other,*Information technology consultation services,15,20,UNKNOWN,149,50,,
Ireland,Ireland,Other,Cleaning services.,15,20,UNKNOWN,149,60,450000.0,
United Kingdom,United Kingdom,Other,Social work services with accommodation,15,20,UNKNOWN,147,79,2378684.5,
TED,AT,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,146,67,1319975.0,
