micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Annual report / publication layout-production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,33,29,3,10.34,750000.0,100000.0,604424.0,1500000.0,27,6.0,14.81,27,6.67,400.0,73.69
Translation services,Ireland,IRELAND,OPEN_PUBLIC,EUR,15,12,3,25.0,800000.0,202500.0,700000.0,950000.0,6,4.0,16.67,13,18.33,1527.78,73.63
Social media / community management,Germany,GERMANY,OPEN_PUBLIC,EUR,32,9,1,11.11,596000.0,0.7525,381609.5,819913.5,5,3.0,20.0,5,20.0,2000.0,73.33
Software licence renewal / licensing,Ireland,IRELAND,OPEN_PUBLIC,EUR,20,17,3,17.65,650000.0,130351.62,1000000.0,3400000.0,11,1.0,63.64,15,41.0,2190.0,73.33
Translation services,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,48,39,6,15.38,250000.0,200000.0,550000.0,1500000.0,48,12.0,0.0,85,6.0,229.53,72.93
Graphic design / DTP / visual identity,Ireland,IRELAND,OPEN_PUBLIC,EUR,47,43,2,4.65,200000.0,150000.0,250000.0,440000.0,29,10.0,0.0,31,9.88,516.31,72.79
SEO / digital marketing,Germany,GERMANY,OPEN_PUBLIC,EUR,44,11,1,9.09,621680.67,435920.0,800000.0,2100841.0,7,8.0,0.0,9,11.11,1111.11,72.76
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,16,15,1,6.67,790500.0,107362.5,190000.0,282500.0,7,22.0,0.0,8,12.5,1250.0,72.16
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,32,30,2,6.67,4000000.0,100000.0,400000.0,5100000.0,57,3.5,1.75,93,5.33,215.82,72.14
WordPress / Drupal / CMS implementation,Germany,GERMANY,OPEN_PUBLIC,EUR,26,9,1,11.11,2180000.0,504000.0,734400.0,747798.78,7,4.5,0.0,8,12.5,1250.0,72.04
SEO / digital marketing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,17,13,2,15.38,6900000.0,41000.0,45000.0,70000.0,2,11.5,0.0,11,9.09,909.09,71.76
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,15,11,2,18.18,85000.0,200000.0,470451.09,2000000.0,16,3.0,18.75,22,9.41,575.78,71.67
Graphic design / DTP / visual identity,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,10,8,2,25.0,,107307.95,132695.9,783713.805,0,,,6,28.57,1836.73,71.32
Commercial printing / print production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,47,42,3,7.14,290000.0,50000.0,291666.67,2300000.0,76,7.0,2.63,102,3.5,144.91,71.31
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,37,35,1,2.86,300000.0,87400.0,480000.0,3700000.0,48,11.0,4.17,104,2.12,150.52,71.22
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,27,18,3,16.67,,25406.8,42250.97,62561.185,6,1.0,83.33,26,13.79,550.93,70.91
Graphic design / DTP / visual identity,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,8,5,2,40.0,825000.0,36500.0,45000.0,49999.5,1,10.0,0.0,5,33.33,2222.22,70.85
SEO / digital marketing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,43,41,2,4.88,410000.0,132162.5,203408.535,427500.0,32,11.0,0.0,40,5.71,307.94,70.84
Website design / redesign / development,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,20,17,3,17.65,,89174.61,192205.0,287129.8075,20,7.5,0.0,13,15.0,900.0,70.76
Website design / redesign / development,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,89,77,9,11.69,170000.0,363675.0,5000000.0,5000000.0,84,11.0,2.38,108,6.45,147.6,70.24
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,20,17,2,11.76,600000.0,144111.65,320000.0,625000.0,16,7.0,6.25,27,4.76,423.28,70.12
Website design / redesign / development,France,FRANCE,COMPETITIVE_OTHER,EUR,37,36,1,2.78,,70000.0,70000.0,70000.0,0,,,2,50.0,5000.0,69.73
Graphic design / DTP / visual identity,Germany,GERMANY,COMPETITIVE_OTHER,EUR,13,8,1,12.5,,35600.0,74920.0,144000.0,8,5.0,0.0,10,11.11,1049.38,69.46
