micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,27,18,3,16.67,,23,25406.8,42250.97,62561.185,6,1.0,83.33,26,13.79,550.93,70.91,OPEN_BID
Commercial printing / print production,Belgium,BE,UNKNOWN,UNKNOWN,88,55,16,29.09,,0,,,,0,,,,,,70.9,OTHER_ROUTE
Graphic design / DTP / visual identity,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,8,5,2,40.0,825000.0,7,36500.0,45000.0,49999.5,1,10.0,0.0,5,33.33,2222.22,70.85,OPEN_BID
SEO / digital marketing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,43,41,2,4.88,410000.0,28,132162.5,203408.535,427500.0,32,11.0,0.0,40,5.71,307.94,70.84,OPEN_BID
Commercial printing / print production,France,FRANCE,UNKNOWN,EUR,69,64,4,6.25,,21,170000.0,431604.0,740000.0,0,,,10,10.0,1000.0,70.81,OTHER_ROUTE
Website design / redesign / development,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,20,17,3,17.65,,20,89174.61,192205.0,287129.8075,20,7.5,0.0,13,15.0,900.0,70.76,OPEN_BID
Commercial printing / print production,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,23,21,2,9.52,600000.0,15,48591.0,250000.0,2750000.0,12,2.0,41.67,24,13.33,803.7,70.49,OTHER_ROUTE
Market research / surveys / polling,France,FRANCE,UNKNOWN,EUR,67,57,6,10.53,,21,177486.0,358399.0,753854.99,0,,,9,20.0,1200.0,70.41,OTHER_ROUTE
Website design / redesign / development,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,89,77,9,11.69,170000.0,87,363675.0,5000000.0,5000000.0,84,11.0,2.38,108,6.45,147.6,70.24,OPEN_BID
Social media / community management,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,9,5,3,60.0,,11,32846.25,41377.2,53799.665,11,1.0,100.0,6,27.27,2066.12,70.23,DIRECT_BUYER
Graphic design / DTP / visual identity,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,20,17,2,11.76,600000.0,19,144111.65,320000.0,625000.0,16,7.0,6.25,27,4.76,423.28,70.12,OPEN_BID
Graphic design / DTP / visual identity,Belgium,BE,UNKNOWN,UNKNOWN,61,49,8,16.33,,0,,,,0,,,,,,70.01,OTHER_ROUTE
Website maintenance / hosting / support,France,FRANCE,UNKNOWN,EUR,36,35,1,2.86,,10,210253.2525,239000.0,814375.0,0,,,9,11.11,1111.11,70.0,OTHER_ROUTE
SEO / digital marketing,TED,ESP,UNKNOWN,EUR,55,3,2,66.67,485384.69,55,28771.165,112933.8,319543.595,45,5.0,31.11,8,50.94,3292.99,69.75,OTHER_ROUTE
Website design / redesign / development,France,FRANCE,COMPETITIVE_OTHER,EUR,37,36,1,2.78,,1,70000.0,70000.0,70000.0,0,,,2,50.0,5000.0,69.73,OPEN_BID
Graphic design / DTP / visual identity,Germany,GERMANY,COMPETITIVE_OTHER,EUR,13,8,1,12.5,,5,35600.0,74920.0,144000.0,8,5.0,0.0,10,11.11,1049.38,69.46,OPEN_BID
Annual report / publication layout-production,France,FRANCE,OPEN_PUBLIC,EUR,24,24,0,0.0,,2,172500.0,195000.0,217500.0,0,,,2,50.0,5000.0,69.33,OPEN_BID
Media / press monitoring,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,18,2,2,100.0,,8,65822.5,73594.54000000001,94958.1375,0,,,6,37.5,2187.5,69.33,OPEN_BID
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,30,25,4,16.0,1105000.0,40,675000.0,4000000.0,4000000.0,175,13.0,0.57,74,5.71,364.3,69.29,OPEN_BID
Graphic design / DTP / visual identity,Canada federal,CANADA,OPEN_PUBLIC,CAD,12,11,1,9.09,,2,525425.0,1016950.0,1508475.0,0,,,23,4.35,434.78,69.23,OPEN_BID
Web accessibility / WCAG audit-remediation,Canada federal,CANADA,OPEN_PUBLIC,CAD,12,10,2,20.0,,4,596287.04,735456.675,939077.1375,0,,,4,25.0,2500.0,69.14,OPEN_BID
Translation services,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,68,5,1,20.0,,5,894.44,204161.0,375174.0,5,1.0,80.0,6,16.67,1666.67,68.83,DIRECT_BUYER
Media / press monitoring,Canada federal,CANADA,OPEN_PUBLIC,CAD,8,5,3,60.0,,1,45200.0,45200.0,45200.0,0,,,1,100.0,10000.0,68.82,OPEN_BID
Mailing / fulfilment / routing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,26,24,2,8.33,500000.0,16,155667.6675,270000.0,1651909.7825,17,6.0,5.88,20,11.11,594.14,68.76,OPEN_BID
Website design / redesign / development,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,16,15,1,6.67,4250000.0,11,30847.5,46265.0,247009.0,6,3.0,0.0,13,7.69,769.23,68.75,OPEN_BID
Website design / redesign / development,Germany,GERMANY,COMPETITIVE_OTHER,EUR,21,12,1,8.33,395000.0,3,66670.5,133340.0,206670.0,4,5.0,0.0,6,28.57,1836.73,68.7,OPEN_BID
Transcription / speech-to-text,France,FRANCE,COMPETITIVE_OTHER,EUR,19,18,1,5.56,,3,26929.0,50000.0,67500.0,0,,,4,40.0,2800.0,68.42,OPEN_BID
Translation services,France,FRANCE,UNKNOWN,EUR,12,9,3,33.33,,2,280000.0,320000.0,360000.0,0,,,,,,68.41,OTHER_ROUTE
Website maintenance / hosting / support,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,28,16,2,12.5,,5,41510.18,172151.04,274392.0,0,,,5,20.0,2000.0,68.13,DIRECT_BUYER
Translation services,France,FRANCE,COMPETITIVE_OTHER,EUR,24,23,1,4.35,,3,15000.0,20000.0,27834.2,0,,,4,25.0,2500.0,67.93,OPEN_BID
Software licence renewal / licensing,Canada federal,CANADA,OPEN_PUBLIC,CAD,22,4,1,25.0,,9,69732.3,510618.9,978530.73,0,,,9,11.11,1111.11,67.84,OPEN_BID
Graphic design / DTP / visual identity,France,FRANCE,UNKNOWN,EUR,23,20,2,10.0,,5,300000.0,400000.0,678000.0,0,,,1,100.0,10000.0,67.75,OTHER_ROUTE
Media / press monitoring,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,22,20,2,10.0,88303.0,17,22000.0,66000.0,80000.0,16,7.0,0.0,12,27.78,1828.7,67.69,OPEN_BID
Website maintenance / hosting / support,Germany,GERMANY,UNKNOWN,EUR,44,7,2,28.57,484747400.0,0,,,,0,,,,,,67.54,OTHER_ROUTE
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,29,24,4,16.67,,24,31011.75,49965.104999999996,277028.25,0,,,29,3.45,344.83,67.45,DIRECT_BUYER
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,10,10,0,0.0,82500.0,17,98985.0,162400.0,175000.0,12,3.0,0.0,40,5.88,399.46,67.4,OPEN_BID
LMS / e-learning platform software,Ireland,IRELAND,OPEN_PUBLIC,EUR,20,19,1,5.26,197500.0,8,211331.25,376524.0,431625.0,8,6.0,0.0,8,12.5,1250.0,67.38,OPEN_BID
Social media / community management,France,FRANCE,OPEN_PUBLIC,EUR,16,15,1,6.67,,4,88902.0,179373.0,350647.5,0,,,3,33.33,3333.33,67.36,OPEN_BID
Website design / redesign / development,France,FRANCE,UNKNOWN,EUR,25,24,1,4.17,,6,144097.01,203380.0,351821.25,0,,,5,20.0,2000.0,67.03,OTHER_ROUTE
Video production / editing / motion,Germany,GERMANY,COMPETITIVE_OTHER,EUR,12,5,2,40.0,305600.0,3,389352.5,550000.0,889535.0,3,3.0,0.0,3,33.33,3333.33,66.96,OPEN_BID
Document scanning / digitization / OCR,Canada federal,CANADA,OPEN_PUBLIC,CAD,8,5,1,20.0,,3,134622.45500000002,224490.89,1242245.445,0,,,14,13.33,755.56,66.95,OPEN_BID
Annual report / publication layout-production,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,19,15,2,13.33,,18,101684.0,314677.8,1294909.25,0,,,17,10.53,637.12,66.81,DIRECT_BUYER
Social media / community management,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,13,13,0,0.0,45800.0,7,106666.5,180810.0,412949.0,8,3.5,25.0,9,11.11,1111.11,66.71,OPEN_BID
Transcription / speech-to-text,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,9,7,2,28.57,,7,49000.0,75000.0,91370.0,0,,,8,12.5,1250.0,66.63,DIRECT_BUYER
SEO / digital marketing,Germany,GERMANY,COMPETITIVE_OTHER,EUR,11,8,1,12.5,400000.0,2,87100.75,174200.5,261300.25,7,3.5,0.0,7,14.29,1428.57,66.56,OPEN_BID
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,18,16,1,6.25,,306,80.125,100.0,117.5,317,6.0,0.95,48,4.1,338.84,66.54,OPEN_BID
Subtitling / captioning,France,FRANCE,OPEN_PUBLIC,EUR,15,15,0,0.0,,2,161874.0,307916.0,453958.0,0,,,3,33.33,3333.33,66.46,OPEN_BID
Translation services,TED,ES,UNKNOWN,EUR,22,20,2,10.0,477397.92000000004,19,1.0,26.0,181798.1,19,3.0,26.32,16,15.79,948.75,66.41,OTHER_ROUTE
SEO / digital marketing,France,FRANCE,COMPETITIVE_OTHER,EUR,12,7,2,28.57,,0,,,,0,,,12,25.0,1197.92,66.27,OPEN_BID
LMS / e-learning platform software,Germany,GERMANY,OPEN_PUBLIC,EUR,19,5,1,20.0,,2,566448.5,699039.0,831629.5,7,4.0,0.0,9,11.11,1111.11,66.25,OPEN_BID
Website design / redesign / development,Ireland,IRELAND,OPEN_PUBLIC,EUR,11,9,1,11.11,140000.0,9,70000.0,72000.0,200000.0,9,12.0,11.11,7,44.44,2530.86,66.11,OPEN_BID
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,12,10,2,20.0,,9,49999.0,88064.0,96000.0,3,2.5,0.0,10,10.0,1000.0,66.04,OPEN_BID
Web accessibility / WCAG audit-remediation,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,22,21,1,4.76,57500.0,4,16582.5,134060.0,250000.0,2,7.0,0.0,3,50.0,3750.0,65.71,OTHER_ROUTE
Annual report / publication layout-production,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,16,12,2,16.67,,3,90440.235,90897.6,8671919.085,0,,,5,20.0,2000.0,65.7,DIRECT_BUYER
Video production / editing / motion,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,21,20,1,5.0,200000.0,13,60000.0,350000.0,350000.0,10,19.5,0.0,24,7.14,667.9,65.68,OPEN_BID
SEO / digital marketing,TED,ESP,UNKNOWN,UNKNOWN,20,1,1,100.0,,0,,,,15,1.0,80.0,4,93.48,8752.36,65.67,OTHER_ROUTE
Document-management software licensing,Ireland,IRELAND,OPEN_PUBLIC,EUR,14,11,2,18.18,240000.0,7,74300.0,140105.88,933470.755,7,1.0,57.14,4,28.57,2653.06,65.5,OPEN_BID
Commercial printing / print production,Ireland,IRELAND,OPEN_PUBLIC,EUR,12,11,1,9.09,100000.0,5,70000.0,100000.0,117000.0,5,6.0,20.0,7,20.0,1733.33,65.48,OPEN_BID
