micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Translation services,TED,POL,UNKNOWN,UNKNOWN,32,4,2,50.0,,0,,,,5,3.0,40.0,4,65.22,4971.64,65.42,OTHER_ROUTE
SaaS / cloud software subscription,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,24,15,3,20.0,,21,16047.86,30625.0,55200.0,0,,,23,8.33,451.39,65.23,DIRECT_BUYER
Commercial printing / print production,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,9,6,2,33.33,,10,1.0,1.0,1.0,0,,,11,9.09,909.09,65.18,OPEN_BID
WordPress / Drupal / CMS implementation,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,10,10,0,0.0,100000.0,5,159375.0,159375.0,314336.25,7,35.0,0.0,6,16.67,1666.67,65.07,OPEN_BID
Translation services,Belgium,BE,UNKNOWN,UNKNOWN,46,42,4,9.52,,0,,,,0,,,,,,64.84,OTHER_ROUTE
Document-management software licensing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,17,17,0,0.0,2550000.0,15,214878.0,380000.0,633686.47,13,1.0,100.0,13,13.33,844.44,64.74,OTHER_ROUTE
Social media / community management,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,9,8,1,12.5,,7,36572.5,41600.0,50499.0,0,,,8,22.22,1358.02,64.73,OPEN_BID
Media / press monitoring,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,27,26,1,3.85,,26,14250.0,36338.325,59734.07,0,,,21,13.79,630.2,64.72,DIRECT_BUYER
Website maintenance / hosting / support,Belgium,BE,UNKNOWN,UNKNOWN,60,58,2,3.45,,0,,,,0,,,,,,64.59,OTHER_ROUTE
Translation services,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,7,6,1,16.67,3500000.0,5,120000.0,150000.0,200000.0,4,2.0,50.0,5,20.0,2000.0,64.27,OPEN_BID
Commercial printing / print production,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,16,15,1,6.67,1500000.0,7,102465.5,281331.0,1350032.69,7,5.0,0.0,10,30.0,1533.33,64.26,OPEN_BID
Social media / community management,Ireland,IRELAND,OPEN_PUBLIC,EUR,8,7,1,14.29,30000.0,3,65157.58,80481.0,133990.5,3,3.0,0.0,2,66.67,5555.56,63.99,OPEN_BID
Translation services,TED,ITA,UNKNOWN,EUR,18,1,1,100.0,744000.0,6,190600.0,289833.88,479839.69,4,1.5,50.0,4,50.0,3333.33,63.97,OTHER_ROUTE
